Pt name,North,East,Ground,WSE,Elevation_recorded,Depth,Code,Notes
20304,2065518.152,6578321.257,161.433,176.853,176.453,15.42,BATH,
20305,2065519.05,6578321.172,162.676,176.849,176.449,14.173,BATH,
20306,2065519.944,6578321.078,161.717,176.842,176.442,15.125,BATH,
20307,2065520.736,6578320.998,162.758,176.833,176.433,14.075,BATH,
20308,2065521.468,6578321.044,162.747,176.822,176.422,14.075,BATH,
20309,2065522.192,6578320.98,162.174,176.839,176.439,14.665,BATH,
20310,2065522.961,6578320.93,162.568,176.84,176.44,14.272,BATH,
20311,2065524.004,6578320.969,162.51,176.814,176.414,14.304,BATH,
20312,2065525.254,6578321.068,162.52,176.824,176.424,14.304,BATH,
20313,2065526.482,6578320.698,161.644,176.801,176.401,15.157,BATH,
20314,2065528.235,6578319.745,162.338,176.839,176.439,14.501,BATH,
20315,2065531.094,6578318.839,162.593,176.865,176.465,14.272,BATH,
20316,2065534.267,6578318.427,162.559,176.831,176.431,14.272,BATH,
20317,2065536.971,6578318.246,162.346,176.847,176.447,14.501,BATH,
20318,2065539.091,6578319.814,162.863,176.872,176.472,14.009,BATH,
20319,2065538.515,6578322.296,163.78,176.805,176.405,13.025,BATH,
20320,2065538.352,6578323.601,163.214,176.862,176.462,13.648,BATH,
20321,2065539.654,6578325.826,162.923,176.834,176.434,13.911,BATH,
20322,2065540.739,6578329.042,161.022,176.836,176.436,15.814,BATH,
20323,2065541.201,6578332.272,163.005,176.817,176.417,13.812,BATH,
20324,2065540.07,6578334.48,161.698,176.823,176.423,15.125,BATH,
20325,2065538.624,6578335.447,161.242,176.859,176.459,15.617,BATH,
20326,2065536.497,6578337.176,161.776,176.835,176.435,15.059,BATH,
20327,2065533.3,6578339.035,163.706,176.829,176.429,13.123,BATH,
20328,2065529.712,6578341.387,163.013,176.825,176.425,13.812,BATH,
20329,2065525.564,6578343.822,162.079,176.843,176.443,14.764,BATH,
20330,2065520.489,6578345.774,162.909,176.885,176.485,13.976,BATH,
20331,2065515.145,6578348.338,159.792,176.787,176.387,16.995,BATH,
20332,2065509.877,6578350.728,161.477,176.798,176.398,15.321,BATH,
20334,2065498.817,6578354.864,158.301,176.871,176.471,18.57,BATH,
20335,2065493.877,6578357.144,157.628,176.821,176.421,19.193,BATH,
20336,2065489.403,6578359.154,157.693,176.853,176.453,19.16,BATH,
20337,2065485.249,6578359.673,154.304,176.811,176.411,22.507,BATH,
20338,2065481.916,6578359.639,153.925,176.858,176.458,22.933,BATH,
20339,2065477.796,6578360.546,152.114,176.851,176.451,24.737,BATH,
20340,2065473.892,6578360.222,151.529,176.857,176.457,25.328,BATH,
20341,2065470.443,6578359.264,151.509,176.837,176.437,25.328,BATH,
20342,2065467.419,6578358.201,150.085,176.857,176.457,26.772,BATH,
20343,2065464.412,6578356.828,150.305,176.847,176.447,26.542,BATH,
20344,2065461.57,6578354.312,150.262,176.837,176.437,26.575,BATH,
20345,2065459.156,6578351.105,150.195,176.835,176.435,26.64,BATH,
20346,2065456.743,6578347.204,150.523,176.868,176.468,26.345,BATH,
20347,2065454.271,6578342.996,150.847,176.831,176.431,25.984,BATH,
20348,2065452.306,6578338.591,150.826,176.81,176.41,25.984,BATH,
20349,2065450.906,6578333.976,151.107,176.829,176.429,25.722,BATH,
20350,2065449.902,6578328.885,151.991,176.827,176.427,24.836,BATH,
20351,2065448.381,6578324.071,153.846,176.779,176.379,22.933,BATH,
20352,2065446.674,6578319.51,157.402,176.857,176.457,19.455,BATH,
20353,2065445.27,6578314.448,158.032,176.831,176.431,18.799,BATH,
20354,2065444.106,6578309.333,162.888,176.799,176.399,13.911,BATH,
20355,2065443.269,6578304.056,166.598,176.867,176.467,10.269,BATH,
20356,2065441.962,6578299.115,167.201,176.814,176.414,9.613,BATH,
20357,2065440.576,6578295.198,168.298,176.828,176.428,8.53,BATH,
20359,2065440.634,6578287.506,168.673,176.809,176.409,8.136,BATH,
20360,2065442.395,6578284.368,168.566,176.834,176.434,8.268,BATH,
20361,2065445.684,6578282.963,168.198,176.827,176.427,8.629,BATH,
20362,2065447.792,6578282.601,168.184,176.845,176.445,8.661,BATH,
20363,2065449.139,6578282.274,168.155,176.882,176.482,8.727,BATH,
20364,2065452.093,6578280.864,168.573,176.841,176.441,8.268,BATH,
20365,2065455.733,6578279.783,168.623,176.858,176.458,8.235,BATH,
20366,2065459.857,6578279.571,167.604,176.889,176.489,9.285,BATH,
20367,2065464.533,6578279.261,167.749,176.837,176.437,9.088,BATH,
20368,2065469.087,6578279.4,167.619,176.805,176.405,9.186,BATH,
20369,2065473.381,6578280.012,167.72,176.841,176.441,9.121,BATH,
20370,2065478.134,6578280.084,167.463,176.781,176.381,9.318,BATH,
20371,2065482.416,6578280.542,167.611,176.83,176.43,9.219,BATH,
20372,2065486.326,6578280.991,167.763,176.851,176.451,9.088,BATH,
20373,2065489.876,6578281.646,167.889,176.846,176.446,8.957,BATH,
20374,2065493.502,6578281.131,168.696,176.865,176.465,8.169,BATH,
20375,2065496.678,6578280.494,168.924,176.864,176.464,7.94,BATH,
20376,2065498.593,6578282.43,168.602,176.87,176.47,8.268,BATH,
20377,2065499.277,6578283.624,167.571,176.856,176.456,9.285,BATH,
20378,2065501.071,6578284.543,167.36,176.842,176.442,9.482,BATH,
20379,2065503.438,6578285.983,166.595,176.864,176.464,10.269,BATH,
20380,2065505.257,6578288.117,165.95,176.875,176.475,10.925,BATH,
