P,N,E,Z,D
20571,2065351.465,6578354.566,176.851,WSE
20572,2065351.919,6578350.643,176.77,WSE
20573,2065352.394,6578346.861,176.856,WSE
20574,2065351.667,6578342.781,176.838,WSE
20575,2065351.567,6578338.998,176.788,WSE
20576,2065351.618,6578335.324,176.837,WSE
20577,2065351.46,6578331.523,176.835,WSE
20578,2065351.31,6578327.964,176.804,WSE
20579,2065351.133,6578324.69,176.812,WSE
20580,2065351.174,6578321.609,176.813,WSE
20581,2065349.402,6578319.689,176.79,WSE
20582,2065347.661,6578319.256,176.842,WSE
20583,2065346.412,6578317.78,176.834,WSE
20584,2065344.884,6578315.95,176.88,WSE
20585,2065342.662,6578314.458,176.823,WSE
20586,2065340.22,6578312.373,176.798,WSE
20587,2065337.665,6578310.546,176.826,WSE
20588,2065334.75,6578309.272,176.821,WSE
20589,2065331.87,6578308.6,176.798,WSE
20590,2065328.901,6578308.038,176.842,WSE
20591,2065325.753,6578308.172,176.836,WSE
20592,2065322.603,6578308.809,176.835,WSE
20594,2065316.232,6578310.078,176.798,WSE
20595,2065313.897,6578311.172,176.826,WSE
20596,2065312.604,6578312.395,176.812,WSE
20597,2065311.157,6578312.576,176.85,WSE
20598,2065310.559,6578314.047,176.772,WSE
20599,2065309.831,6578315.94,176.862,WSE
20600,2065308.303,6578318.373,176.801,WSE
20601,2065307.352,6578321.487,176.789,WSE
20602,2065306.744,6578324.804,176.849,WSE
20603,2065306.079,6578328.608,176.842,WSE
20604,2065305.334,6578332.583,176.814,WSE
20605,2065304.831,6578336.68,176.868,WSE
20606,2065304.205,6578341.085,176.873,WSE
20607,2065303.93,6578345.432,176.815,WSE
20608,2065303.866,6578349.807,176.835,WSE
20609,2065303.868,6578354.378,176.863,WSE
20610,2065304.004,6578359.013,176.855,WSE
20611,2065304.138,6578363.603,176.808,WSE
20612,2065304.18,6578368.34,176.832,WSE
20613,2065304.58,6578373.18,176.826,WSE
20614,2065305.07,6578377.889,176.809,WSE
20615,2065305.618,6578382.622,176.834,WSE
20616,2065306.77,6578387.381,176.829,WSE
20617,2065307.983,6578391.946,176.788,WSE
20618,2065308.804,6578396.593,176.844,WSE
20619,2065310.57,6578401.278,176.812,WSE
20620,2065311.925,6578405.923,176.747,WSE
20621,2065312.949,6578410.528,176.832,WSE
20622,2065314.908,6578415.278,176.826,WSE
20623,2065316.561,6578420.062,176.809,WSE
20624,2065317.637,6578424.773,176.788,WSE
20625,2065318.485,6578429.427,176.851,WSE
20626,2065319.675,6578434.128,176.77,WSE
20627,2065320.784,6578438.807,176.82,WSE
20628,2065321.868,6578443.591,176.839,WSE
20629,2065322.523,6578448.229,176.816,WSE
20630,2065323.381,6578452.649,176.702,WSE
20631,2065324.799,6578457.081,176.806,WSE
20632,2065326.203,6578461.375,176.839,WSE
20633,2065327.666,6578465.376,176.811,WSE
20634,2065328.732,6578469.011,176.782,WSE
20635,2065329.217,6578472.05,176.819,WSE
20636,2065329.793,6578475.069,176.814,WSE
20637,2065329.895,6578477.563,176.824,WSE
20638,2065329.081,6578479.32,176.872,WSE
20639,2065327.805,6578480.675,176.809,WSE
20640,2065326.121,6578481.715,176.77,WSE
20641,2065324.051,6578482.946,176.744,WSE
20642,2065321.536,6578484.554,176.793,WSE
20643,2065318.251,6578485.177,176.804,WSE
20644,2065314.954,6578486.294,176.778,WSE
20645,2065311.653,6578487.516,176.89,WSE
20646,2065307.945,6578488.575,176.709,WSE
20647,2065304.511,6578489.585,176.769,WSE
20648,2065301.31,6578491.087,176.759,WSE
20649,2065298.699,6578492.748,176.814,WSE
20650,2065296.65,6578494.546,176.784,WSE
20651,2065294.832,6578496.499,176.737,WSE
20654,2065289.089,6578502.183,176.902,WSE
20655,2065287.379,6578503.582,176.852,WSE
20656,2065285.742,6578504.548,176.801,WSE
20657,2065284.808,6578505.431,176.853,WSE
20658,2065285.247,6578504.016,176.925,WSE
20659,2065285.074,6578501.325,176.827,WSE
20660,2065284.997,6578498.585,176.768,WSE
20661,2065285.252,6578496.209,176.853,WSE
20662,2065285.288,6578494.385,176.813,WSE
20663,2065284.944,6578492.692,176.779,WSE
20664,2065284.521,6578490.735,176.795,WSE
20665,2065284.179,6578488.913,176.718,WSE
